Video link,260101,260102,260103,260104,260105,260106,260107,260108,260109,260110,260111,260112,260113,260114,260115,260116
ZZIKS6NIMHo,61630.0,62393.0,63101.0,63737.0,64538.0,65393.0,66406.0,67434.0,69643.0,72291.0,73426.0,74038.0,74457.0,74763.0,75219.0,75893
No2UhSOp8aM,233668.0,235125.0,236323.0,237351.0,238505.0,239525.0,240361.0,241050.0,241708.0,242421.0,242903.0,243604.0,244238.0,244768.0,245380.0,245915
eDSb9J1DJKc,1074235.0,1080870.0,1088454.0,1095703.0,1102763.0,1110633.0,1117428.0,1123387.0,1128944.0,1134736.0,1140148.0,1145304.0,1150441.0,1154395.0,1158441.0,1162559
_LGkbAg-4oo,1219.0,1388.0,1579.0,1763.0,1852.0,1912.0,2004.0,2060.0,2094.0,2107.0,2127.0,2138.0,2146.0,2151.0,2161.0,2167
aLBo0oJqBXI,9929208.0,9962372.0,10014580.0,10049586.0,10083184.0,10116366.0,10148871.0,10180238.0,10210625.0,10241199.0,10269640.0,10318413.0,10364926.0,10396445.0,10424352.0,10454658
VW7jSCsuWCI,151972.0,153262.0,154283.0,155163.0,156617.0,157454.0,157948.0,158361.0,158679.0,158919.0,159123.0,159312.0,159476.0,159627.0,159756.0,159882
AoC7BBs_l6g,5714.0,5854.0,5989.0,6097.0,6198.0,6318.0,6438.0,6581.0,6690.0,6857.0,6994.0,7171.0,7430.0,7824.0,8514.0,8844
YgwGBgZEKaM,53755.0,260043.0,428179.0,598000.0,620260.0,630240.0,641207.0,652108.0,661471.0,668368.0,673044.0,678098.0,682477.0,686296.0,689634.0,693146
YgwGBgZEKaM,53755.0,260043.0,428179.0,598000.0,620260.0,630240.0,641207.0,652108.0,661471.0,668368.0,673044.0,678098.0,682477.0,686296.0,689634.0,693146
blYK_tKXn9E,527156.0,530850.0,534368.0,537543.0,540497.0,544130.0,548342.0,552666.0,555033.0,556820.0,558800.0,564467.0,568120.0,569809.0,571513.0,573118
OCfFVUySdYw,1520620.0,1552330.0,1605803.0,1640140.0,1666562.0,1690276.0,1711962.0,1733801.0,1768569.0,1796519.0,1819098.0,1835901.0,1851716.0,1868502.0,1889738.0,1943965
7hTbNeHqGD8,12418490.0,12451822.0,12485028.0,12516646.0,12552039.0,12586076.0,12619337.0,12650749.0,12682619.0,12711039.0,12739274.0,12773398.0,12804780.0,12833455.0,12865084.0,12893515
QjMGurFjvT4,6780.0,7113.0,7453.0,7717.0,7916.0,8019.0,8084.0,8149.0,8206.0,8247.0,8280.0,8320.0,8343.0,8354.0,8371.0,8386
cC-6G5daQBo,92475.0,93533.0,94630.0,95702.0,97372.0,98866.0,100094.0,101402.0,102599.0,103900.0,105270.0,107698.0,111661.0,113603.0,115517.0,116817
Mxp_q_RBCXE,3196.0,476150.0,1067341.0,1441047.0,1773183.0,2102169.0,2417094.0,2735471.0,3073632.0,3436303.0,3805585.0,4137604.0,4467256.0,4775472.0,5114652.0,5444183
lRZXbdupH7I,43984.0,45525.0,46999.0,48698.0,49926.0,51090.0,52453.0,54054.0,55485.0,56844.0,58248.0,59564.0,62704.0,65340.0,67698.0,69622
J1kMnHO8xSk,89722.0,91835.0,94335.0,96414.0,98232.0,100320.0,102812.0,104999.0,105993.0,106209.0,106377.0,106572.0,106699.0,106784.0,106912.0,107066
ELaFmC2UFzk,370908.0,371304.0,371865.0,372408.0,372910.0,373419.0,373933.0,375413.0,378117.0,381118.0,383945.0,386680.0,389750.0,392515.0,397542.0,404601
UulR1x4tvZE,529251.0,532290.0,535457.0,539279.0,543360.0,547215.0,551715.0,556852.0,561225.0,565251.0,569571.0,573867.0,578770.0,587511.0,602597.0,610299
