Artist ID,Album ID,Album URL,Album date,Video link,Album type,Label,ID
Idol-alexa2,2026-tongue-tied,/musicalbums/2026-Tongue-Tied,260226,,,,
Idol-chuu,2026-xo-my-cyberlove,/musicalbums/2026-XO-My-Cyberlove,260107,J3WxAEN2Ow4,studio,ATRP,a1bfd97e-b54e-418e-a808-279300ff2c1c
Idol-unknown,2026-ghostcity,/musicalbums/2026-Ghostcity,260101,No2UhSOp8aM,single,"Daytona Entertainment, PYRAT, Choi Seong",27e20b07-9832-4b9f-b463-a86b1c0c67e7
Idol-joohoney,2026-insanity,/musicalbums/2026-INSANITY,260105,eDSb9J1DJKc,mini_album,Starship Entertainment,3660de04-92f8-451b-8d1a-6f363bd3de7c
Idol-soohyun2,2026-gray,/musicalbums/2026-Gray,260107,PQCcR2mrABw,mini_album,New Boat,81e26a93-9de4-4d62-b890-e8f6e391fc7f
Idol-yonghwa,2026-one-last-day-japan-special-edition,/musicalbums/2026-One-Last-Day-Japan-Special-Edition,260211,Lr-7BBhUJio,mini_album,FNC Entertainment,5dbd4ffb-28d6-45aa-ac26-95f43a4142d8
Group-alpha-drive-one,2026-euphoria,/musicalbums/2026-Euphoria,260112,P8VVnopM610,mini_album,WAKEONE,fec7a794-3c5f-4359-aa04-9eb674126efa
Group-aoen,2026-falling-in-seconds,/musicalbums/2026-Falling-in-Seconds,260318,DzV97MXTZx8,single,YX Labels,7716a7bc-61c9-4cda-ad45-c76e1c35db4f
Group-apink,2026-re-love,/musicalbums/2026-Re-Love,260105,y2os26sMjOg,mini_album,With Us Entertainment,f472bddc-3dc6-46a5-b68a-190696720bed
Group-chrocktikal,2026-we-break-you-awake,/musicalbums/2026-We-Break-You-Awake,260115,xSx4g9c4yZU,studio,Dreamcatcher Company,fc75976d-956f-41a9-975c-e489a2df6e7e
Group-cnblue,2026-3logy,/musicalbums/2026-3LOGY,260107,ND5FhEsjVUk,studio,FNC Entertainment,38c24897-c5f3-41d5-9666-f5020c0adbc9
Group-cnblue,2026-still-a-flower,/musicalbums/2026-Still-a-Flower,260101,YgwGBgZEKaM,single,FNC Entertainment,1f660d09-f002-4634-8033-52e2266083f8
Group-dk-x-seungkwan,2026-serenade,/musicalbums/2026-Serenade,260112,blYK_tKXn9E,,,
Group-enhypen,2026-the-sin-vanish,/musicalbums/2026-THE-SIN-VANISH,260116,R6e4tBWxIxE,mini_album,BELIFT LAB Inc.,30eb091f-94bc-47c1-b6af-c87c416265de
Group-exo,2026-reverxe,/musicalbums/2026-REVERXE,260119,7hTbNeHqGD8,studio,SM Entertainment,57717ad0-9e91-4db9-a8d2-704bfb18c501
Group-for-the-more,2026-highlight,/musicalbums/2026-HIGHLIGHT,260128,yRTwoFiqQHY,mini_album,99Major,e799f14c-d33c-4675-bb7d-18b0be91e086
Group-geenius,2026-love-don-t-change,/musicalbums/2026-Love-Don-t-Change,260115,,,,
Group-h1-key,2026-the-world-is-not-like-a-movie,/musicalbums/2026-The-world-is-not-like-a-movie,260105,_UiZ-Uuw1ro,single,Choi Creative Lab,30e26920-7308-4b0e-b5aa-c36baca944e2
Group-illit,2026-sunday-morning,/musicalbums/2026-Sunday-Morning,260113,-01oDwXKSuE,single,BELIFT Lab,bc312258-544c-466b-b5b4-3ab62ecd6b57
Group-is-sue,2026-phase,/musicalbums/2026-PHASE,260114,kacuL0bgsdI,single,LAPONE Entertainment,dcb08dc7-3ab7-4167-b2fc-1fe28aaf4f8b
Group-katseye,2026-internet-girl,/musicalbums/2026-Internet-Girl,260102,5q9EjSUovc4,single,HYBE x Geffen,8c8ba48d-aa37-4164-a2af-a5cab7798674
Group-latency,2026-it-was-love,/musicalbums/2026-It-Was-Love,260108,nhDcqoetCy8,single,Oddinary,25fd9552-31c5-47db-8bc2-6fc8cb3e3940
Group-lngshot,2026-shot-callers,/musicalbums/2026-SHOT-CALLERS,260113,GFRu5ea_klk,mini_album,More Vision,9458b82d-0148-4790-b3b6-aeecb82e92b5
Group-me-i,2026-ltor,/musicalbums/2026-LtoR,260109,kDvjltW21ag,single,LAPONE GIRLS,aac13009-ba8c-4206-acc7-1774fb50b531
Group-misamo,2026-play,/musicalbums/2026-Play,260202,ELaFmC2UFzk,,,
Group-n-ssign,2026-funky-like-me,/musicalbums/2026-Funky-Like-Me,260113,LVw93DLIE78,single,n.CH Entertainment,d3fe09a8-bd63-4ee4-a229-34078eb89d4b
Group-nct-wish,2026-wishlist,/musicalbums/2026-Wishlist,260114,UulR1x4tvZE,mini_album,SM Entertainment,7a87b216-4064-4151-8783-25130bc9b81c
Group-re-hearts,2026-persona,/musicalbums/2026-Persona,260103,_onCG9RhAIo,,,
Group-riize,2026-all-of-you,/musicalbums/2026-All-of-You,260218,yfKBI5l81-A,single,SM Entertainment,b5ed519e-768b-4904-9f54-90c1c82034d5
Group-stayc,2026-stay-alive,/musicalbums/2026-Stay-Alive,260211,udOf9JGMA7U,studio,Mercury Tokyo/UNIVERSAL MUSIC LLC,b113b70b-5285-44dd-ba33-3beed319ddfb
Group-waker,2026-in-elixir-spellbound,/musicalbums/2026-In-Elixir-Spellbound,260108,F8YTLNrg8nE,mini_album,HOWLING Entertainment,a4fecaf6-e39f-4b7b-a10e-ada7ad02dce6
Group-xg,2026-the-core-he,/musicalbums/2026-The-Core-he,260123,8cEdndsuzSE,studio,XGALX,bb48a4f6-5f5c-411b-971d-9cb4f8ca6fa3
Group-yesweare,2026-yesweare,/musicalbums/2026-yesweare,260105,n71tJihpPHA,,,
Group-zerobaseone,2026-re-flow,/musicalbums/2026-RE-FLOW,260202,v5_GoNFr5wc,studio,Wakeone,f6d8ba73-c2de-40c8-8445-3e3930746b90
Group-idntt,2026-yesweare,/musicalbums/2026-yesweare,260105,n71tJihpPHA,,,
Idol-unknown,2026-love-me-ost-part-3,/musicalbums/2026-Love-Me-OST-Part-3,260103,rjQFemcplN8,ost,SLL,6d1cb202-e2ff-483a-9137-e1818e6b0299
Idol-ha-sung-woon,2026-tell-the-world,/musicalbums/2026-Tell-The-World,260105,z_ss4Yf-VZ4,single,BPM,d55935d4-b49c-406e-a356-ba254191a2bd
Idol-loopy,2026-seoul,/musicalbums/2026-SEOUL,260109,WZgam7x_ymU,,,
Group-close-your-eyes,2026-judge-lee-han-young-ost-part-1,/musicalbums/2026-Judge-Lee-Han-young-OST-Part-1,260103,3Lj1CoLVQbU,,,
Group-misamo,2026-play,/musicalbums/2026-Play,260204,ELaFmC2UFzk,,,
Idol-kursor,2026-90-s,/musicalbums/2026-90-s,260104,N_P7j2JG7ws,single,BIXIZ XOUND,b5521ed6-a465-44bb-a68c-12d46a2b9427
Idol-unknown,2026-between-you-and-i,/musicalbums/2026-Between-You-and-I,260103,fg-6jkI8B6M,single,Independent,9d564461-01a5-4c8f-8a42-e16aae337a48
Group-close-your-eyes,2026-the-judge-returns-ost-part-1,/musicalbums/2026-The-Judge-Returns-OST-Part-1,260103,3Lj1CoLVQbU,ost,Most Contents,70e5e420-4c58-4a0c-bb30-283074482d51
Group-oneus,2026-origin,/musicalbums/2026-Origin,260120,-XJi9qCv_1s,,,
Group-onewe,2026-studio-we-recording-4,/musicalbums/2026-STUDIO-WE-Recording-4,260130,KyRERlh3X28,mini_album,RBW,96dfef9e-5ed1-47d0-abd2-9f9f61434a2f
Idol-dia2,2026-dance,/musicalbums/2026-Dance,260109,CkBdKswwN0s,single,Symphonic,30e729b0-4eb5-4ed1-8573-23bd49934dda
Idol-inseong,2026-crossfade,/musicalbums/2026-Crossfade,260114,5dfsW2CBNPs,mini_album,FNC Entertainment,ab88c8aa-b136-4236-86f2-4da240cc80c4
Idol-lia,2026-idol-i-part-6,/musicalbums/2026-IDOL-I-Part-6,260106,1UyzVpQDkW8,ost,Genie Music,e1a566da-5ba0-4072-96f7-f23112177415
Group-aesther,2026-starlight,/musicalbums/2026-Starlight,260110,fAVrqc-IphQ,,,
Group-unknown,2026-yesweare,/musicalbums/2026-yesweare,260105,L_IrTG4E-CY,mini_album,MODHAUS,109c9e1f-4229-43e6-86b2-87ca8717e1f8
Group-kiiikiii,2026-delulu-park,/musicalbums/2026-DELULU-PARK,260126,,,,
Group-zerobaseone,2026-running-to-future,/musicalbums/2026-Running-to-Future,260109,v5_GoNFr5wc,single,WAKEONE,bd87a04d-8d32-4a1c-8f6d-8fceb383188c
Idol-bada,2026-our-loud-goodbye,/musicalbums/2026-Our-Loud-Goodbye,260107,OrlkRhaVnhk,single,WAVENINE,37643307-3975-4339-8fe0-2fec0f66236b
Idol-dept,2026-blue,/musicalbums/2026-Blue,260107,zSFmsS5ufDs,,,
Idol-wonpil,2026-wish,/musicalbums/2026-Wish,260107,22CcsqxQdW0,,,
Group-2z,2026-6-six,/musicalbums/2026-6-SIX,260114,3SiRPF5OOzo,single,GOGO2020,e7e9f705-2a48-4bf4-99dc-d01613c06ae1
Group-kiiikiii,2026-delulu-pack,/musicalbums/2026-DELULU-PACK,260126,zhHB4dZTChw,mini_album,Starship Entertainment,2f765ec7-5d7b-4148-9296-c8121057aac4
Idol-unknown,2026-beautiful-pain,/musicalbums/2026-Beautiful-Pain,260115,KRAFmgTECWw,single,Cube Entertainment,c86435ee-3ad6-4966-827b-674250e95ebc
Group-hades,2026-planet-b,/musicalbums/2026-Planet-B,260109,hRlt2L-MJKU,single,ORViT Entertainment,8a0e8d50-a69c-47c1-af43-980f04ace1e0
Group-young-posse,2026-lose-your-shxt,/musicalbums/2026-Lose-Your-Shxt,260110,Vxj8vwMYHP4,single,DSP media,308122a6-b685-4aca-931a-8ab5bae0321e
Idol-henry,2026-cold-air,/musicalbums/2026-Cold-Air,260110,i3hQxcVNXx0,single,AMBI Entertainment,0209ec41-fea0-4f06-b723-1b8b14ece884
Idol-jeong-hyo-bean,2026-marigold,/musicalbums/2026-Marigold,260125,LvoIv3PTk9c,,,
Idol-jiseong,2026-requested,/musicalbums/2026-Requested,260110,JGvx-7IkUCA,single,DIPBLU,cce8962f-3f06-4c37-b90c-9b5e6d2d3be1
Idol-yeoeun,2026-do-you-know,/musicalbums/2026-Do-you-know,260109,2gbVYUcPRwY,single,Yogurt Studio,1da4925e-d8d4-45f4-9e12-f346f0f62c82
Group-catch-the-young,2026-evolve,/musicalbums/2026-Evolve,260119,V6yhQw99NYY,studio,Evermore Entertainment,e456ec63-dee9-446a-b900-0f1431afcf6c
Group-la-poem,2026-alive,/musicalbums/2026-Alive,260120,nzWl5oaZ1Gg,,,
Group-oneus,2026-won,/musicalbums/2026-Won,260120,_UQCWEp-8BQ,single,RBW,4c763938-1303-41af-be2c-4b51fa63f8c5
Idol-miyeon,2026-spring-fever-pt-1-original-soundtrack,/musicalbums/2026-Spring-Fever-Pt-1-Original-Soundtrack,260106,v94Q1nzU4Vc,ost,Stone Music Entertainment,4f94a536-c756-4a8b-b03d-aa430fece4ba
Idol-younha,2026-sub-character,/musicalbums/2026-Sub-Character,260202,4TRS7y4qdWs,studio,C9 EntertainmentC9 Ent,f6fedd7f-d626-47a7-875f-12ce09758c04
Group-2nb,2026-if-i-didn-t-meet-you-that-day,/musicalbums/2026-If-I-Didn-t-Meet-You-That-Day,260111,VseIEV6xl1c,single,Donuts Culture,13d4d026-189d-4a45-a482-f5592145c82c
Idol-ha-sung-woon,2026-to-my-beloved-thief-pt-1-original-soundtrack,/musicalbums/2026-To-My-Beloved-Thief-Pt-1-Original-Soundtrack,260104,ER4YaTP2Sc8,ost,Stone Music Entertainment,7558d821-ecf8-4a86-b656-6b75cbbc8050
Group-ateez,2026-golden-hour-part-4,/musicalbums/2026-GOLDEN-HOUR-Part-4,260206,qDpEcO1hlZE,mini_album,KQ Entertainment,a43ce092-b537-4ba8-8efb-ab4e93b054e1
Group-enhypen,2026-dark-moon-the-blood-alter-ost,/musicalbums/2026-Dark-Moon-The-Blood-Alter-OST,260112,EKrsvC7XxhE,ost,Belift Lab,bfe47db7-b12f-463c-80bc-5989744400ae
Group-kickflip,2026-to-my-beloved-thief-pt-2-original-soundtrack,/musicalbums/2026-To-My-Beloved-Thief-Pt-2-Original-Soundtrack,260111,HHkj1M34QNg,ost,Stone Music Entertainment,c87e8a69-f809-4f75-96ff-14eedcae8b96
Idol-yeoeun,2026-because-you-re-so-beautiful,/musicalbums/2026-Because-You-re-So-Beautiful,260113,bxPt9jC1Xxo,single,"WM Entertainment, Yotyu",f47b3402-7cd4-4772-a84c-d69a192423de
Group-axmxp,2026-amplify-my-way,/musicalbums/2026-Amplify-My-Way,260121,pAgRuO6h7OE,mini_album,FNC Entertainment,1a85430e-e574-44de-b8c4-beb6f97313bb
Group-kaja,2026-future-calling,/musicalbums/2026-Future-Calling,260107,QohU4Ucme3c,single,Sony Music Labels Inc.,29f89bc1-872b-4052-a88e-d97b9d97f9e1
Group-tnx,2026-call-me-back,/musicalbums/2026-Call-Me-Back,260122,0-xKvImq7Ek,single,P NATION,59a564a1-0554-41c8-b8eb-9c980a2d73d8
Idol-chanmina,2026-test-me,/musicalbums/2026-TEST-ME,260114,hQ4-H-nNNz4,single,NO LABEL MUSIC,93d86614-9804-4eba-b9a2-ce0349b784ec
Group-m-o-n-t,2026-history,/musicalbums/2026-History,260121,3IjtP7PRcrE,single,FM Entertainment,f3da37b4-67f7-4301-987d-030b1d951da3
Group-blackpink,2026-deadline,/musicalbums/2026-DEADLINE,260227,CgCVZdcKcqY,mini_album,YG Entertainment,38e95ef9-7953-4545-8f11-2cbd5e6684bd
