Artist ID,Album ID,Album URL,Album date,Video link
Idol-alexa2,2026-tongue-tied,/musicalbum/2026-Tongue-Tied,260226,
Idol-chuu,2026-xo-my-cyberlove,/musicalbum/2026-XO-My-Cyberlove,260107,ZZIKS6NIMHo
Idol-unknown,2026-ghostcity,/musicalbum/2026-Ghostcity,260101,No2UhSOp8aM
Idol-joohoney,2026-insanity,/musicalbum/2026-INSANITY,260105,eDSb9J1DJKc
Idol-soohyun2,2026-gray,/musicalbum/2026-Gray,260107,_LGkbAg-4oo
Idol-yonghwa,2026-one-last-day-japan-special-edition,/musicalbum/2026-One-Last-Day-Japan-Special-Edition,260211,
Group-alpha-drive-one,2026-euphoria,/musicalbum/2026-Euphoria,260112,aLBo0oJqBXI
Group-aoen,2026-falling-in-seconds,/musicalbum/2026-Falling-in-Seconds,260318,
Group-apink,2026-re-love,/musicalbum/2026-Re-Love,260105,VW7jSCsuWCI
Group-chrocktikal,2026-we-break-you-awake,/musicalbum/2026-We-Break-You-Awake,260115,AoC7BBs_l6g
Group-cnblue,2026-3logy,/musicalbum/2026-3LOGY,260107,YgwGBgZEKaM
Group-cnblue,2026-still-a-flower,/musicalbum/2026-Still-a-Flower,260101,YgwGBgZEKaM
Group-dk-x-seungkwan,2026-serenade,/musicalbum/2026-Serenade,260112,blYK_tKXn9E
Group-enhypen,2026-the-sin-vanish,/musicalbum/2026-THE-SIN-VANISH,260116,OCfFVUySdYw
Group-exo,2026-reverxe,/musicalbum/2026-REVERXE,260119,7hTbNeHqGD8
Group-for-the-more,2026-highlight,/musicalbum/2026-HIGHLIGHT,260128,
Group-geenius,2026-love-don-t-change,/musicalbum/2026-Love-Don-t-Change,260115,
Group-h1-key,2026-the-world-is-not-like-a-movie,/musicalbum/2026-The-world-is-not-like-a-movie,260105,QjMGurFjvT4
Group-illit,2026-sunday-morning,/musicalbum/2026-Sunday-Morning,260113,cC-6G5daQBo
Group-is-sue,2026-phase,/musicalbum/2026-PHASE,260114,
Group-katseye,2026-internet-girl,/musicalbum/2026-Internet-Girl,260102,Mxp_q_RBCXE
Group-latency,2026-it-was-love,/musicalbum/2026-It-Was-Love,260108,
Group-lngshot,2026-shot-callers,/musicalbum/2026-SHOT-CALLERS,260113,lRZXbdupH7I
Group-me-i,2026-ltor,/musicalbum/2026-LtoR,260109,J1kMnHO8xSk
Group-misamo,2026-play,/musicalbum/2026-Play,260202,ELaFmC2UFzk
Group-n-ssign,2026-funky-like-me,/musicalbum/2026-Funky-Like-Me,260113,
Group-nct-wish,2026-wishlist,/musicalbum/2026-Wishlist,260114,UulR1x4tvZE
Group-re-hearts,2026-persona,/musicalbum/2026-Persona,260103,_onCG9RhAIo
Group-riize,2026-all-of-you,/musicalbum/2026-All-of-You,260218,
Group-stayc,2026-stay-alive,/musicalbum/2026-Stay-Alive,260211,
Group-waker,2026-in-elixir-spellbound,/musicalbum/2026-In-Elixir-Spellbound,260108,
Group-xg,2026-the-core-he,/musicalbum/2026-The-Core-he,260123,8cEdndsuzSE
Group-yesweare,2026-yesweare,/musicalbum/2026-yesweare,260105,n71tJihpPHA
Group-zerobaseone,2026-re-flow,/musicalbum/2026-RE-FLOW,260202,
Group-idntt,2026-yesweare,/musicalbum/2026-yesweare,260105,n71tJihpPHA
Idol-unknown,2026-love-me-ost-part-3,/musicalbum/2026-Love-Me-OST-Part-3,260103,QFI8C6_STTc
Idol-ha-sung-woon,2026-tell-the-world,/musicalbum/2026-Tell-The-World,260105,oB5ZwlgICvg
Idol-loopy,2026-seoul,/musicalbum/2026-SEOUL,260109,
Group-close-your-eyes,2026-judge-lee-han-young-ost-part-1,/musicalbum/2026-Judge-Lee-Han-young-OST-Part-1,260103,3Lj1CoLVQbU
Group-misamo,2026-play,/musicalbum/2026-Play,260204,ELaFmC2UFzk
Idol-kursor,2026-90-s,/musicalbum/2026-90-s,260104,N_P7j2JG7ws
Idol-unknown,2026-between-you-and-i,/musicalbum/2026-Between-You-and-I,260103,
Group-close-your-eyes,2026-the-judge-returns-ost-part-1,/musicalbum/2026-The-Judge-Returns-OST-Part-1,260103,3Lj1CoLVQbU
Group-oneus,2026-origin,/musicalbum/2026-Origin,260120,-XJi9qCv_1s
Group-onewe,2026-studio-we-recording-4,/musicalbum/2026-STUDIO-WE-Recording-4,260130,
